"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Psychology","Clinical, Counseling and Applied Psychology.",NA,94280,"University of Florida"
"Psychology","Psychology, General.",29874,58364,"University of Georgia"
"Psychology","Clinical, Counseling and Applied Psychology.",64962,79090,"University of Georgia"
"Psychology","Psychology, General.",NA,63866,"University of Illinois Urbana-Champaign"
"Psychology","Psychology, General.",31804,56424,"University of North Carolina at Chapel Hill"
"Psychology","Psychology, General.",36121,67873,"University of Virginia-Main Campus"
"Psychology","Clinical, Counseling and Applied Psychology.",54093,69758,"University of Virginia-Main Campus"
"Visual & Performing Arts","Design and Applied Arts.",57615,85813,"UCLA"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",19673,28993,"UCLA"
"Visual & Performing Arts","Film/Video and Photographic Arts.",29696,66565,"UCLA"
"Visual & Performing Arts","Film/Video and Photographic Arts.",39954,67538,"UCLA"
"Visual & Performing Arts","Fine and Studio Arts.",21220,46122,"UCLA"
"Visual & Performing Arts","Fine and Studio Arts.",NA,62398,"UCLA"
"Visual & Performing Arts","Music.",22125,50858,"UCLA"
"Visual & Performing Arts","Music.",15520,28799,"UCLA"
"Visual & Performing Arts","Music.",NA,77654,"UCLA"
"Visual & Performing Arts","Film/Video and Photographic Arts.",29011,38182,"University of California-Berkeley"
"Visual & Performing Arts","Fine and Studio Arts.",20368,58001,"University of California-Berkeley"
"Visual & Performing Arts","Design and Applied Arts.",32816,67513,"University of California-Davis"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",19398,42690,"University of California-Davis"
"Visual & Performing Arts","Film/Video and Photographic Arts.",19258,50629,"University of California-Davis"
"Visual & Performing Arts","Fine and Studio Arts.",22700,46486,"University of California-Davis"
"Visual & Performing Arts","Music.",24630,40840,"University of California-Davis"
"Visual & Performing Arts","Dance.",28112,32865,"University of California-Irvine"
"Visual & Performing Arts","Design and Applied Arts.",NA,80163,"University of California-Irvine"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",20461,27561,"University of California-Irvine"
"Visual & Performing Arts","Film/Video and Photographic Arts.",21397,44541,"University of California-Irvine"
"Visual & Performing Arts","Fine and Studio Arts.",16989,48982,"University of California-Irvine"
"Visual & Performing Arts","Visual and Performing Arts, General.",NA,46800,"University of California-San Diego"
"Visual & Performing Arts","Visual and Performing Arts, General.",NA,42918,"University of California-San Diego"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",18026,39424,"University of California-San Diego"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",14358,26372,"University of California-San Diego"
"Visual & Performing Arts","Fine and Studio Arts.",21777,45044,"University of California-San Diego"
"Visual & Performing Arts","Music.",21592,44134,"University of California-San Diego"
"Visual & Performing Arts","Film/Video and Photographic Arts.",28608,52687,"University of California-Santa Barbara"
"Visual & Performing Arts","Fine and Studio Arts.",NA,48583,"University of California-Santa Barbara"
"Visual & Performing Arts","Dance.",16639,21714,"University of Florida"
"Visual & Performing Arts","Design and Applied Arts.",43144,73474,"University of Florida"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",16318,35412,"University of Florida"
"Visual & Performing Arts","Fine and Studio Arts.",23793,28324,"University of Florida"
"Visual & Performing Arts","Fine and Studio Arts.",33627,46870,"University of Florida"
"Visual & Performing Arts","Music.",22559,40213,"University of Florida"
"Visual & Performing Arts","Fine and Studio Arts.",34056,51345,"University of Georgia"
"Visual & Performing Arts","Fine and Studio Arts.",18590,41360,"University of Georgia"
"Visual & Performing Arts","Music.",28793,49262,"University of Georgia"
"Visual & Performing Arts","Arts, Entertainment,and Media Management.",33927,53759,"University of Georgia"
"Visual & Performing Arts","Design and Applied Arts.",34670,70046,"University of Illinois Urbana-Champaign"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",22159,38862,"University of Illinois Urbana-Champaign"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",26539,32938,"University of Illinois Urbana-Champaign"
"Visual & Performing Arts","Fine and Studio Arts.",28669,33080,"University of Illinois Urbana-Champaign"
"Visual & Performing Arts","Music.",13128,32182,"University of Illinois Urbana-Champaign"
"Visual & Performing Arts","Music.",23379,51570,"University of Illinois Urbana-Champaign"
"Visual & Performing Arts","Music.",40102,50581,"University of Illinois Urbana-Champaign"
