"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Nursing","Public Health.",61474,87858,"University of California-San Francisco"
"Nursing","Rehabilitation and Therapeutic Professions.",NA,95260,"University of California-San Francisco"
"Nursing","Rehabilitation and Therapeutic Professions.",84998,90795,"University of California-San Francisco"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",138842,155504,"University of California-San Francisco"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,138325,"University of California-San Francisco"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",97457,90233,"College of the Canyons"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",58306,64954,"Casa Loma College-Los Angeles"
"Nursing","Practical Nursing, Vocational Nursing and Nursing Assistants.",NA,53756,"Casa Loma College-Los Angeles"
"Nursing","Allied Health and Medical Assisting Services.",32056,33140,"CET-San Diego"
"Nursing","Health and Medical Administrative Services.",25727,27237,"CET-San Jose"
"Nursing","Allied Health and Medical Assisting Services.",32056,33140,"CET-San Jose"
"Nursing","Health and Medical Administrative Services.",25727,27237,"CET-Watsonville"
"Nursing","Allied Health and Medical Assisting Services.",32056,33140,"CET-Watsonville"
"Nursing","Allied Health and Medical Assisting Services.",32056,33140,"CET-Salinas"
"Nursing","Communication Disorders Sciences and Services.",NA,45689,"Cerritos College"
"Nursing","Dental Support Services and Allied Professions.",NA,61556,"Cerritos College"
"Nursing","Allied Health and Medical Assisting Services.",NA,32500,"Cerritos College"
"Nursing","Allied Health and Medical Assisting Services.",NA,50013,"Cerritos College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,101438,"Cerritos College"
"Nursing","Dental Support Services and Allied Professions.",85175,80515,"Chabot College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,128108,"Chabot College"
"Nursing","Mental and Social Health Services and Allied Professions.",59081,78008,"Chapman University"
"Nursing","Public Health.",25007,76156,"Chapman University"
"Nursing","Rehabilitation and Therapeutic Professions.",NA,100597,"Chapman University"
"Nursing","Rehabilitation and Therapeutic Professions.",77192,80944,"Chapman University"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",60191,97445,"Charles R Drew University of Medicine and Science"
"Nursing","Health/Medical Preparatory Programs.",NA,106698,"Charles R Drew University of Medicine and Science"
"Nursing","Public Health.",55074,90781,"Charles R Drew University of Medicine and Science"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,165204,"Charles R Drew University of Medicine and Science"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",127454,144392,"Charles R Drew University of Medicine and Science"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",102324,109911,"Concordia University-Irvine"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,90315,"Citrus College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",100031,132408,"City College of San Francisco"
"Nursing","Public Health.",70190,95981,"Claremont Graduate University"
"Nursing","Dental Support Services and Allied Professions.",27394,30559,"Milan Institute-Visalia"
"Nursing","Health and Medical Administrative Services.",23141,31854,"Milan Institute-Visalia"
"Nursing","Allied Health and Medical Assisting Services.",27459,31930,"Milan Institute-Visalia"
